
移动高清,#genre#
江苏卫视,http://110.72.78.96:8181/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://222.218.159.49:8181/tsfile/live/faacts/1104_1.m3u8?key=txiptv
北京卫视,http://58.220.219.14:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://36.248.137.69:60033/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://222.218.158.82:8181/tsfile/live/faacts/1104_1.m3u8?key=txiptv
北京卫视,http://117.141.149.101:4431/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://222.173.134.150:8888/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://110.80.17.38:9901/tsfile/live/0122_2.m3u8?key=txiptv
北京卫视,http://111.225.113.130:808/tsfile/live/1014_1.m3u8?key=txiptv
北京卫视,http://221.226.4.10:9901/tsfile/live/1012_1.m3u8?key=txiptv
北京卫视,http://61.163.181.78:9901/tsfile/live/1043_1.m3u8?key=txiptv
东方卫视,http://123.138.216.44:9902/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://111.225.113.130:808/tsfile/live/1025_1.m3u8?key=txiptv
东方卫视,http://61.163.181.78:9901/tsfile/live/1036_1.m3u8?key=txiptv
东方卫视,http://222.218.158.82:8181/tsfile/live/faacts/1102_1.m3u8?key=txiptv
东方卫视,http://113.57.103.216:9000/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://222.173.134.150:8888/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://59.62.8.250:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://220.182.45.198:20088/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://175.18.189.238:9902/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://36.248.137.69:60033/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://175.18.189.238:9902/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://117.141.149.101:4431/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://110.80.17.38:9901/tsfile/live/0130_2.m3u8?key=txiptv
安徽卫视,http://123.138.216.44:9902/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://61.163.181.78:9901/tsfile/live/1038_1.m3u8?key=txiptv
安徽卫视,http://113.57.103.216:9000/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://36.248.137.69:60033/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://123.101.98.20:9898/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://220.182.45.198:20088/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://222.173.134.150:8888/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://222.218.159.49:8181/tsfile/live/faacts/1106_1.m3u8?key=txiptv
广东卫视,http://222.173.134.150:8888/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://110.72.78.96:8181/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://219.128.121.202:59901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://175.18.189.238:9902/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://117.141.149.101:4431/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://221.226.4.10:9901/tsfile/live/1022_1.m3u8?key=txiptv
广东卫视,http://111.225.113.130:808/tsfile/live/1027_1.m3u8?key=txiptv
广东卫视,http://222.218.158.82:8181/tsfile/live/faacts/1106_1.m3u8?key=txiptv
广东卫视,http://59.62.8.250:9901/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://219.128.121.202:59901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://222.173.134.150:8888/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://123.101.98.20:9898/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://111.225.113.130:808/tsfile/live/1023_1.m3u8?key=txiptv
深圳卫视,http://221.226.4.10:9901/tsfile/live/1023_1.m3u8?key=txiptv
深圳卫视,http://175.18.189.238:9902/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://61.163.181.78:9901/tsfile/live/1041_1.m3u8?key=txiptv
深圳卫视,http://110.72.78.96:8181/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://113.57.103.216:9000/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://111.225.113.130:808/tsfile/live/1016_1.m3u8?key=txiptv
辽宁卫视,http://110.72.78.96:8181/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://36.248.137.69:60033/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://175.18.189.238:9902/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://220.182.45.198:20088/tsfile/live/1000_1.m3u8?key=txiptv
辽宁卫视,http://222.173.134.150:8888/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://123.101.98.20:9898/tsfile/live/0121_1.m3u8?key=txiptv
海南卫视,http://220.182.45.198:20088/tsfile/live/1008_1.m3u8?key=txiptv
海南卫视,http://221.226.4.10:9901/tsfile/live/1025_1.m3u8?key=txiptv
海南卫视,http://117.141.149.101:4431/tsfile/live/1019_1.m3u8?key=txiptv
海南卫视,http://36.248.137.69:60033/tsfile/live/1009_1.m3u8?key=txiptv
山东卫视,http://180.167.104.105:9901/tsfile/live/1020_1.m3u8?key=txiptv
山东卫视,http://222.173.134.150:8888/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://111.225.113.130:808/tsfile/live/1017_1.m3u8?key=txiptv
山东卫视,http://221.226.4.10:9901/tsfile/live/1021_1.m3u8?key=txiptv
山东卫视,http://36.248.137.69:60033/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://219.144.185.82:9901/tsfile/live/1008_1.m3u8?key=txiptv
山东卫视,http://110.72.78.96:8181/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://117.141.149.101:4431/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://58.220.219.14:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://220.182.45.198:20088/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://123.138.216.44:9902/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://117.141.149.101:4431/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://110.72.78.96:8181/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://110.80.17.38:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://222.218.159.49:8181/tsfile/live/faacts/1108_1.m3u8?key=txiptv
天津卫视,http://58.220.219.14:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://123.101.98.20:9898/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://111.225.113.130:808/tsfile/live/1015_1.m3u8?key=txiptv
天津卫视,http://221.226.4.10:9901/tsfile/live/1014_1.m3u8?key=txiptv
天津卫视,http://222.173.134.150:8888/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://58.220.219.14:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://59.62.8.250:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://123.138.216.44:9902/tsfile/live/0132_1.m3u8?key=txiptv
重庆卫视,http://221.1.210.106:8053/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://175.18.189.238:9902/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://222.173.134.150:8888/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://111.225.113.130:808/tsfile/live/1026_1.m3u8?key=txiptv
重庆卫视,http://220.182.45.198:20088/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://117.141.149.101:4431/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://110.72.78.96:8181/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://220.182.45.198:20088/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://175.18.189.238:9902/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://113.57.103.216:9000/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://59.62.8.250:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://36.248.137.69:60033/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://58.220.219.14:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://111.225.113.130:808/tsfile/live/1013_1.m3u8?key=txiptv
甘肃卫视,http://117.141.149.101:4431/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://110.80.17.38:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://222.218.159.49:8181/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://222.218.158.82:8181/tsfile/live/0141_1.m3u8?key=txiptv
广西卫视,http://36.248.137.69:60033/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://123.101.98.20:9898/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://110.80.17.38:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://221.226.4.10:9901/tsfile/live/1024_1.m3u8?key=txiptv
广西卫视,http://59.62.8.250:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://222.173.134.150:8888/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://110.72.78.96:8181/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://220.182.45.198:20088/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://110.80.17.38:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://36.248.137.69:60033/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://111.225.113.130:808/tsfile/live/1022_1.m3u8?key=txiptv
贵州卫视,http://117.141.149.101:4431/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://123.101.98.20:9898/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://220.182.45.198:20088/tsfile/live/0120_1.m3u8?key=txiptv
河北卫视,http://110.80.17.38:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://59.62.8.250:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://117.141.149.101:4431/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://111.225.113.130:808/tsfile/live/0018_1.m3u8?key=txiptv
河北卫视,http://36.248.137.69:60033/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://222.173.134.150:8888/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://36.248.137.69:60033/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://117.141.149.101:4431/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://219.144.185.82:9901/tsfile/live/1007_1.m3u8?key=txiptv
黑龙江卫视,http://221.226.4.10:9901/tsfile/live/1019_1.m3u8?key=txiptv
黑龙江卫视,http://222.218.158.82:8181/tsfile/live/faacts/1103_1.m3u8?key=txiptv
黑龙江卫视,http://58.220.219.14:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://110.72.78.96:8181/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://220.182.45.198:20088/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://59.62.8.250:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://222.218.159.49:8181/tsfile/live/faacts/1103_1.m3u8?key=txiptv
河南卫视,http://175.18.189.238:9902/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://222.173.134.150:8888/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://36.248.137.69:60033/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://123.101.98.20:9898/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://59.62.8.250:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://123.138.216.44:9902/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://117.141.149.101:4431/tsfile/live/0139_1.m3u8?key=txiptv
湖北卫视,http://59.62.8.250:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://222.173.134.150:8888/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://111.225.113.130:808/tsfile/live/1024_1.m3u8?key=txiptv
湖北卫视,http://221.226.4.10:9901/tsfile/live/1017_1.m3u8?key=txiptv
湖北卫视,http://123.101.98.20:9898/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://110.72.78.96:8181/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://219.128.121.202:59901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://110.80.17.38:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://220.182.45.198:20088/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://117.141.149.101:4431/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://111.225.113.130:808/tsfile/live/1021_1.m3u8?key=txiptv
江西卫视,http://36.248.137.69:60033/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://222.173.134.150:8888/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://175.18.189.238:9902/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://123.101.98.20:9898/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://59.62.8.250:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://117.141.149.101:4431/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://113.57.103.216:9000/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://110.80.17.38:9901/tsfile/live/0138_2.m3u8?key=txiptv
吉林卫视,http://175.18.189.238:9902/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://59.62.8.250:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://221.1.210.106:8053/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://111.225.113.130:808/tsfile/live/1028_1.m3u8?key=txiptv
吉林卫视,http://222.173.134.150:8888/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://123.101.98.20:9898/tsfile/live/0116_1.m3u8?key=txiptv
陕西卫视,http://219.144.185.82:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://220.182.45.198:20088/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://219.145.93.74:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://123.101.98.20:9898/tsfile/live/0136_1.m3u8?key=txiptv
四川卫视,http://59.62.8.250:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://219.128.121.202:59901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://220.182.45.198:20088/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://221.1.210.106:8053/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://110.80.17.38:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://117.141.149.101:4431/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://58.220.219.14:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://111.225.113.130:808/tsfile/live/1020_1.m3u8?key=txiptv
四川卫视,http://110.72.78.96:8181/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://36.248.137.69:60033/tsfile/live/0123_1.m3u8?key=txiptv
云南卫视,http://110.72.78.96:8181/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://36.248.137.69:60033/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://123.101.98.20:9898/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://221.1.210.106:8053/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://110.80.17.38:9901/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://59.62.8.250:9901/tsfile/live/0119_1.m3u8?key=txiptv
青海卫视,http://117.141.149.101:4431/tsfile/live/0140_1.m3u8?key=txiptv
青海卫视,http://110.80.17.38:9901/tsfile/live/0140_1.m3u8?key=txiptv
青海卫视,http://36.248.137.69:60033/tsfile/live/0140_1.m3u8?key=txiptv

湖南频道,#genre#
湖南教育,http://42.48.17.188:9901/tsfile/live/37223_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://42.48.17.188:9901/tsfile/live/37220_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://42.48.17.188:9901/tsfile/live/37218_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://42.48.17.188:9901/tsfile/live/37222_1.m3u8?key=txiptv&playlive=1&authid=0


港澳频道,#genre#
凤凰资讯,http://117.28.177.45:8605/rtp/239.61.2.183:9086
TVB翡翠台 4K,http://9528.haycker.eu.org/stream/hk/4k2/master.m3u8?u=admin&p=70db29aeaebf312fd2b93d3d69d99a16ad3319d0b354567f2be5c5e91c6be18b
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯高清,http://113.64.145.9:8081/hls/36/index.m3u8
凤凰卫视高清,http://113.64.145.9:8081/hls/37/index.m3u8
TVB翡翠台,http://mywlkj.ddns.net:754/tv/haiou.php?id=14
TVBJ2台,http://mywlkj.ddns.net:754/tv/haiou.php?id=15
TVB明珠台,http://mywlkj.ddns.net:754/tv/haiou.php?id=16
TVB星河台(粤),http://mywlkj.ddns.net:754/tv/haiou.php?id=18
TVB星河台(国),http://mywlkj.ddns.net:754/tv/haiou.php?id=19
TVB星河台(粤),http://mywlkj.ddns.net:754/tv/haiou.php?id=20
VIU TV,http://mywlkj.ddns.net:754/tv/haiou.php?id=23
VIU TV6,http://mywlkj.ddns.net:754/tv/haiou.php?id=24
TVB无线新闻台,http://mywlkj.ddns.net:754/tv/haiou.php?id=25
天映经典,http://mywlkj.ddns.net:754/tv/haiou.php?id=28
天映频道,http://mywlkj.ddns.net:754/tv/haiou.php?id=29
无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0
无线财经台,http://live.cooltv.top/tv/tvb.php?id=2
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
凤凰卫视,http://119.34.189.27:33333/udp/224.1.100.3:11111
无线新闻台,http://glive.grtn.cn/live/9d4ab39b4ab6325277081b76dbc3c4b9.flv
无线新闻台,https://glive.grtn.cn/live/9d4ab39b4ab6325277081b76dbc3c4b9.m3u8
J2台,http://1.65.195.85:9981/stream/channelid/2082072924?ticket=4b3174e5f68a673f0c11bc3443bc52b1663d94f0&profile=pass
无线财经资讯,http://50.7.238.114:8278/tvbcaijing_twn/playlist.m3u8?tid=MD3D9552893795528937&ct=19254&tsum=77d4c2db4fa7537d7dd3eb19f933526d
无线新闻,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80
VIUTV6,http://198.16.100.90:8278/viusix_twn/playlist.m3u8?tid=MC6C1412376614123766&ct=19225&tsum=f4273425d435057616c3380b9e2a0287
VIUTV1,http://198.16.100.90:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
RTHK31[1280x720],http://50.7.238.114:8278/rhk31_twn/playlist.m3u8?tid=MA6A6225600662256006&ct=19249&tsum=7b0adccccff4fded44e906e9d848ee35
RTHK32,http://50.7.238.114:8278/rhk32_twn/playlist.m3u8?tid=MDBD4704174447041744&ct=19249&tsum=763ebe53fc33677d02ebf83b4d558d33
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
TVB翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/playlist.m3u8
凤凰资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯台,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰资讯台,https://edge1.laotv.la:443/live/PhoenixNews/index.m3u8
凤凰资讯台,https://edge2.laotv.la/live/PhoenixNews/index.m3u8
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/hd110_h.live/playlist.m3u8
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
港台电视RTHK32HD,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
港台电视RTHK33HD,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台电视RTHK34HD,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台电视RTHK35HD,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
有线财经资讯台HD,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd208_h.live/playlist.m3u8
香港RHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
澳门有线 CH1,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线 CH3,http://202.175.127.77/live/show/ch3/index.m3u8
澳门有线新闻,http://202.175.127.77/live/show/ch2/index.m3u8
RTHK31[1280x720],http://198.16.100.90:8278/rhk31_twn/playlist.m3u8?tid=MA6A6225600662256006&ct=19249&tsum=7b0adccccff4fded44e906e9d848ee35
RTHK32[1280x720],http://198.16.100.90:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
凤凰资讯台,https://youtube.livednow.com/stream/0K6C6Rv4RR4_
天映频道,http://210.210.155.37/session/6883312c-b2d3-11ed-8d27-c81f66f89318/dr9445/h/h14/index.m3u8
成华有线,https://tv.cry33.com/cdtvflv.php?id=chyx
凤凰卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8


台湾频道,#genre#
TVB无线新闻台,http://mywlkj.ddns.net:754/tv/haiou.php?id=25
无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻台,http://glive.grtn.cn/live/9d4ab39b4ab6325277081b76dbc3c4b9.flv
无线新闻台,https://glive.grtn.cn/live/9d4ab39b4ab6325277081b76dbc3c4b9.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/hd110_h.live/playlist.m3u8
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
民视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=16
台视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=17
中视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=18
华视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=19
台视综合,http://mywlkj.ddns.net:754/tv/yximgs.php?id=22
民视台湾台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=23
三立综合台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=24
三立台湾台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=25
三立戏剧台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=26
三立都会台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=27
龙祥时代,http://mywlkj.ddns.net:754/tv/yximgs.php?id=37
东森电影,http://mywlkj.ddns.net:754/tv/yximgs.php?id=38
东森洋片,http://mywlkj.ddns.net:754/tv/yximgs.php?id=39
东森综合,http://mywlkj.ddns.net:754/tv/yximgs.php?id=40
东森戏剧,http://mywlkj.ddns.net:754/tv/yximgs.php?id=41
东森超视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=42
台视新闻,http://mywlkj.ddns.net:754/tv/yximgs.php?id=52
中视新闻,http://mywlkj.ddns.net:754/tv/yximgs.php?id=53
民视新闻,http://mywlkj.ddns.net:754/tv/yximgs.php?id=54
东森新闻,http://mywlkj.ddns.net:754/tv/yximgs.php?id=55
东森财经,http://mywlkj.ddns.net:754/tv/yximgs.php?id=56
年代新闻,http://mywlkj.ddns.net:754/tv/yximgs.php?id=59
三立新聞,http://165.1.79.200:9000/live.m3u8?c=95
三立+,http://165.1.79.200:9000/live.m3u8?c=96
民视新闻台[1920x1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视台湾[1920x1080],http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
台视新闻[1280x720],http://50.7.238.114:8278/ttvnews_twn/playlist.m3u8?tid=MBBB6637589866375898&ct=19234&tsum=d2c641a325bf02e0b68c4f245e0165b0
民视新闻[1280x720],http://50.7.238.114:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406
民视新闻[1280x720],http://198.16.100.90:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406
民视台湾[1920x1080],http://198.16.100.90:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
民视第一台[1280x720],http://198.16.100.90:8278/lunghuajingdian_twn/playlist.m3u8?tid=ME8E7785888977858889&ct=19226&tsum=a7c782372313ea616d8fced1cebdfbab
年代新闻[1920x1080],http://198.16.100.90:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
东森戏剧[1920x1080],http://50.7.238.114:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
东森超视[1920x1080],http://50.7.238.114:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
年代新闻[1920x1080],http://50.7.238.114:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
人間衛視[1280x720],https://epg.pw/stream/cab9660f86973293a2803a15f5967d07b0981cf7b2ea801d7b11070100b318f9.ctv
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
TVBS新闻台,https://youtube.livednow.com/stream/2mCSYvcfhtc
中天新闻台,https://youtube.livednow.com/stream/oIgbl7t0S_w
